
Reference Number = 2408 Incident Particle: neutron 
Target: Z= 94 A= 239 Number of energies= 181
Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
First Author: R.Capote      
Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -6.090

En(MeV)     V    RV    AV    DWV      W    RW    AW     VD   RVD   AVD     WD   RWD   AWD    VSO   RVSO  AVSO   WSO   RWSO  AWSO   VHFpn WSpn DVSpn    WVpn    DVVpn   V(Lane)  W(Lane)    E
 -1.650 45.150 1.250 0.638  0.755  0.038 1.253 0.680  3.056 1.181 0.604  1.541 1.181 0.604  5.812 1.121 0.590 -0.002 1.121 0.590 -0.571-0.170-0.338   0.000    0.000   -9.550   -2.848   -1.650
 -1.600 45.135 1.250 0.638  0.764  0.038 1.253 0.680  3.078 1.181 0.604  1.570 1.181 0.604  5.809 1.121 0.590 -0.002 1.121 0.590 -0.570-0.173-0.340   0.000    0.000   -9.545   -2.902   -1.600
 -1.550 45.121 1.250 0.638  0.772  0.039 1.253 0.680  3.099 1.181 0.604  1.600 1.181 0.604  5.807 1.121 0.590 -0.002 1.121 0.590 -0.570-0.177-0.342   0.000    0.000   -9.540   -2.957   -1.550
 -1.500 45.106 1.250 0.638  0.781  0.040 1.253 0.680  3.120 1.181 0.604  1.629 1.181 0.604  5.804 1.121 0.590 -0.003 1.121 0.590 -0.570-0.180-0.345   0.000    0.000   -9.535   -3.011   -1.500
 -1.450 45.092 1.250 0.638  0.789  0.041 1.253 0.680  3.140 1.181 0.604  1.659 1.181 0.604  5.802 1.121 0.590 -0.003 1.121 0.590 -0.570-0.183-0.347   0.000    0.000   -9.530   -3.066   -1.450
 -1.400 45.077 1.250 0.638  0.798  0.042 1.253 0.680  3.160 1.181 0.604  1.689 1.181 0.604  5.799 1.121 0.590 -0.003 1.121 0.590 -0.569-0.187-0.349   0.000    0.000   -9.525   -3.121   -1.400
 -1.350 45.063 1.250 0.638  0.806  0.043 1.253 0.680  3.180 1.181 0.604  1.719 1.181 0.604  5.797 1.121 0.590 -0.003 1.121 0.590 -0.569-0.190-0.351   0.000    0.000   -9.520   -3.176   -1.350
 -1.300 45.048 1.250 0.638  0.815  0.044 1.253 0.680  3.200 1.181 0.604  1.748 1.181 0.604  5.795 1.121 0.590 -0.003 1.121 0.590 -0.569-0.193-0.353   0.000    0.000   -9.515   -3.231   -1.300
 -1.250 45.034 1.250 0.638  0.823  0.045 1.253 0.680  3.219 1.181 0.604  1.779 1.181 0.604  5.792 1.121 0.590 -0.003 1.121 0.590 -0.568-0.196-0.356   0.000    0.000   -9.510   -3.287   -1.250
 -1.200 45.019 1.250 0.638  0.832  0.046 1.253 0.680  3.238 1.181 0.604  1.809 1.181 0.604  5.790 1.121 0.590 -0.003 1.121 0.590 -0.568-0.200-0.358   0.000    0.000   -9.506   -3.343   -1.200
 -1.150 45.005 1.250 0.638  0.840  0.047 1.253 0.680  3.257 1.181 0.604  1.839 1.181 0.604  5.787 1.121 0.590 -0.003 1.121 0.590 -0.568-0.203-0.360   0.000    0.000   -9.501   -3.398   -1.150
 -1.100 44.990 1.250 0.638  0.848  0.047 1.253 0.680  3.275 1.181 0.604  1.869 1.181 0.604  5.785 1.121 0.590 -0.003 1.121 0.590 -0.567-0.206-0.362   0.000    0.000   -9.496   -3.454   -1.100
 -1.050 44.976 1.250 0.638  0.857  0.048 1.253 0.680  3.293 1.181 0.604  1.900 1.181 0.604  5.782 1.121 0.590 -0.003 1.121 0.590 -0.567-0.210-0.364   0.000    0.000   -9.491   -3.511   -1.050
 -1.000 44.961 1.250 0.638  0.865  0.049 1.253 0.680  3.310 1.181 0.604  1.930 1.181 0.604  5.780 1.121 0.590 -0.003 1.121 0.590 -0.567-0.213-0.366   0.000    0.000   -9.486   -3.567   -1.000
