Reference Number = 2408 Incident Particle: neutron  Target: Z= 94 A= 239 Ef = -6.090
En(MeV)   RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
 -0.550   420.956   396.788    24.168    -4.306     8.452     0.787     7.665    15.967     0.525    15.443     0.003
 -0.500   420.931   396.663    24.268    -4.304     8.527     0.794     7.734    16.193     0.534    15.659     0.003
 -0.450   420.903   396.537    24.365    -4.302     8.603     0.801     7.802    16.420     0.544    15.876     0.003
 -0.400   420.872   396.412    24.461    -4.300     8.679     0.808     7.871    16.646     0.553    16.093     0.003
 -0.350   420.840   396.286    24.554    -4.298     8.754     0.815     7.939    16.873     0.563    16.310     0.003
 -0.300   420.806   396.161    24.645    -4.297     8.830     0.822     8.007    17.100     0.573    16.527     0.003
 -0.250   420.769   396.036    24.734    -4.295     8.905     0.829     8.076    17.327     0.583    16.744     0.003
 -0.200   420.731   395.911    24.820    -4.293     8.981     0.836     8.144    17.554     0.593    16.962     0.003
 -0.150   420.690   395.786    24.904    -4.291     9.056     0.844     8.213    17.782     0.603    17.179     0.003
 -0.100   420.647   395.661    24.987    -4.289     9.132     0.851     8.281    18.009     0.613    17.396     0.003
 -0.050   420.602   395.536    25.067    -4.288     9.207     0.858     8.349    18.237     0.623    17.614     0.003
  0.000   420.555   395.411    25.144    -4.286     9.283     0.865     8.418    18.465     0.633    17.831     0.003
  0.050   420.506   395.286    25.220    -4.284     9.358     0.872     8.486    18.692     0.644    18.048     0.003
  0.100   420.455   395.162    25.294    -4.282     9.434     0.879     8.554    18.920     0.654    18.266     0.003
  0.150   420.402   395.037    25.365    -4.280     9.509     0.886     8.623    19.148     0.665    18.483     0.004
  0.200   420.347   394.913    25.435    -4.278     9.585     0.894     8.691    19.375     0.675    18.700     0.004
  0.250   420.290   394.788    25.502    -4.277     9.660     0.901     8.759    19.603     0.686    18.917     0.004
  0.300   420.231   394.664    25.567    -4.275     9.735     0.908     8.827    19.830     0.697    19.133     0.004
  0.350   420.170   394.540    25.630    -4.273     9.811     0.915     8.896    20.058     0.708    19.350     0.004
  0.400   420.107   394.416    25.691    -4.271     9.886     0.922     8.964    20.285     0.719    19.566     0.004
  0.450   420.042   394.292    25.750    -4.269     9.961     0.929     9.032    20.512     0.730    19.782     0.004
  0.500   419.975   394.168    25.807    -4.268    10.036     0.936     9.100    20.739     0.741    19.998     0.004
  0.550   419.906   394.044    25.863    -4.266    10.112     0.943     9.168    20.966     0.752    20.214     0.004
  0.600   419.836   393.920    25.916    -4.264    10.187     0.951     9.236    21.193     0.763    20.429     0.004
  0.650   419.763   393.796    25.967    -4.262    10.262     0.958     9.304    21.419     0.775    20.644     0.004
  0.700   419.689   393.673    26.016    -4.260    10.337     0.965     9.373    21.645     0.786    20.859     0.004
  0.750   419.612   393.549    26.063    -4.259    10.413     0.972     9.441    21.871     0.798    21.073     0.004
  0.800   419.534   393.426    26.108    -4.257    10.488     0.979     9.509    22.097     0.809    21.287     0.004
  0.850   419.454   393.302    26.152    -4.255    10.563     0.986     9.577    22.322     0.821    21.501     0.004
  0.900   419.372   393.179    26.193    -4.253    10.638     0.993     9.645    22.547     0.833    21.714     0.004
  0.950   419.289   393.056    26.233    -4.251    10.713     1.001     9.713    22.772     0.845    21.927     0.004
  1.000   419.203   392.933    26.270    -4.250    10.788     1.008     9.780    22.996     0.857    22.140     0.005
  1.050   419.116   392.810    26.306    -4.248    10.863     1.015     9.848    23.220     0.869    22.352     0.005
  1.100   419.027   392.687    26.340    -4.246    10.938     1.022     9.916    23.444     0.881    22.563     0.005
  1.150   418.936   392.564    26.372    -4.244    11.013     1.029     9.984    23.667     0.893    22.774     0.005
  1.200   418.844   392.441    26.403    -4.242    11.088     1.036    10.052    23.890     0.905    22.985     0.005
  1.250   418.750   392.318    26.431    -4.240    11.163     1.043    10.120    24.112     0.918    23.195     0.005
  1.300   418.654   392.196    26.458    -4.239    11.238     1.051    10.188    24.334     0.930    23.404     0.005
  1.350   418.557   392.073    26.483    -4.237    11.313     1.058    10.255    24.556     0.943    23.613     0.005
  1.400   418.457   391.951    26.507    -4.235    11.388     1.065    10.323    24.777     0.955    23.822     0.005
  1.450   418.357   391.828    26.528    -4.233    11.463     1.072    10.391    24.998     0.968    24.030     0.005
  1.500   418.254   391.706    26.548    -4.231    11.538     1.079    10.459    25.218     0.981    24.237     0.005
  1.550   418.150   391.584    26.566    -4.230    11.613     1.086    10.526    25.437     0.994    24.444     0.005
  1.600   418.044   391.462    26.583    -4.228    11.687     1.093    10.594    25.656     1.007    24.650     0.005
  1.650   417.937   391.340    26.597    -4.226    11.762     1.101    10.662    25.875     1.020    24.855     0.005
  1.700   417.828   391.218    26.611    -4.224    11.837     1.108    10.729    26.093     1.033    25.060     0.005
  1.750   417.718   391.096    26.622    -4.222    11.912     1.115    10.797    26.310     1.046    25.265     0.006
  1.800   417.606   390.974    26.632    -4.221    11.986     1.122    10.864    26.527     1.059    25.468     0.006
  1.850   417.493   390.852    26.640    -4.219    12.061     1.129    10.932    26.744     1.072    25.671     0.006
  1.900   417.378   390.730    26.647    -4.217    12.136     1.136    10.999    26.959     1.086    25.873     0.006
  1.950   417.261   390.609    26.652    -4.215    12.210     1.144    11.067    27.174     1.099    26.075     0.006
  2.000   417.143   390.487    26.656    -4.213    12.285     1.151    11.134    27.389     1.113    26.276     0.006
  2.050   417.024   390.366    26.658    -4.212    12.360     1.158    11.202    27.603     1.127    26.476     0.006
  2.100   416.903   390.244    26.659    -4.210    12.434     1.165    11.269    27.816     1.140    26.676     0.006
  2.150   416.781   390.123    26.658    -4.208    12.509     1.172    11.337    28.029     1.154    26.874     0.006
  2.200   416.657   390.002    26.655    -4.206    12.583     1.179    11.404    28.241     1.168    27.073     0.006
  2.250   416.532   389.881    26.651    -4.204    12.658     1.186    11.471    28.452     1.182    27.270     0.006
  2.300   416.406   389.760    26.646    -4.203    12.732     1.194    11.539    28.662     1.196    27.466     0.006
  2.350   416.278   389.639    26.639    -4.201    12.807     1.201    11.606    28.872     1.210    27.662     0.006
  2.400   416.149   389.518    26.631    -4.199    12.881     1.208    11.673    29.082     1.224    27.857     0.007
